posicao (populacao),municipio,populacao,posicao (pib),"PIB(R$1000,00)"
2576,São Luís do Curu,13086,3839,96085
2577,Turvo,13080,1284,518006
2577,Turvo,13080,1490,426452
2587,Turvo,12977,1284,518006
2587,Turvo,12977,1490,426452
2578,Cristais,13060,2596,194876
2579,Governador Lindenberg,13047,2775,178085
2580,Deodápolis,13043,2105,264071
2581,Antônio Prado,13041,1241,538849
2582,Mineiros do Tietê,13023,2721,183029
2583,Nova Crixás,13020,1695,355100
2584,Terra Nova,13018,3442,121935
2584,Terra Nova,13018,4444,67423
3075,Terra Nova,10314,3442,121935
3075,Terra Nova,10314,4444,67423
2585,Piên,13015,973,745062
2586,Mar de Espanha,12985,2847,170434
2588,Piçarra,12976,2552,200749
2589,Saúde,12971,4172,79663
2590,Igrapiúna,12963,2991,156304
2591,Aracatu,12960,3669,106004
2592,Heliópolis,12946,3927,91407
2593,Manoel Vitorino,12944,3607,109744
2594,Presidente Bernardes,12943,2171,253922
2594,Presidente Bernardes,12943,4999,46999
4229,Presidente Bernardes,5315,2171,253922
4229,Presidente Bernardes,5315,4999,46999
2595,Tapiratiba,12940,1797,326219
2596,Presidente Juscelino,12939,3910,92406
2596,Presidente Juscelino,12939,5122,42502
4876,Presidente Juscelino,3572,3910,92406
4876,Presidente Juscelino,3572,5122,42502
2597,Cidade Gaúcha,12939,1588,389582
2598,Davinópolis,12923,1125,620435
2598,Davinópolis,12923,1606,383112
5413,Davinópolis,2094,1125,620435
5413,Davinópolis,2094,1606,383112
2599,Itaipé,12910,4024,86368
2600,São José do Campestre,12901,3874,94084
2601,Mamborê,12900,1334,494992
2602,Mostardas,12888,1658,365899
2603,Conceição do Castelo,12887,2583,196358
2604,Campinorte,12880,2372,222321
2605,Rio de Contas,12878,3497,118005
2606,Nova Canaã do Norte,12876,1694,355110
2607,Brejinho,12873,3048,151318
2607,Brejinho,12873,4834,51754
3607,Brejinho,7489,3048,151318
3607,Brejinho,7489,4834,51754
2608,Ribeirão do Pinhal,12869,2270,236865
2609,Patu,12861,3335,129578
2610,Riolândia,12856,2337,226354
2611,Porto Alegre do Norte,12849,2588,195957
2612,Tacaimbó,12843,3366,126856
2613,Cachoeira Alta,12843,2242,241275
2614,Novo Lino,12837,3118,145761
2615,Flexeiras,12823,2798,175314
2616,Cardoso Moreira,12818,1830,319871
2617,Betânia,12811,3954,89784
2618,Cambuquira,12810,2353,224707
2620,São Pedro da Água Branca,12779,3850,95467
2621,Simplício Mendes,12778,3295,132444
2622,São Gonçalo do Pará,12776,2295,232566
2623,Areal,12763,1803,325609
2624,Teixeira Soares,12761,1717,346581
2626,São Geraldo,12751,2521,204621
2627,Água Doce do Maranhão,12731,4305,73445
2628,Sete Barras,12731,1535,412265
2629,Ibicuitinga,12730,3894,92925
2630,Maxaranguape,12714,3618,109019
2631,São Romão,12713,3211,138654
2632,Santa Cruz da Baixa Verde,12708,4079,83550
2633,Bonfim,12701,2087,267087
2633,Bonfim,12701,4031,85997
3764,Bonfim,6852,2087,267087
3764,Bonfim,6852,4031,85997
2634,Ibiraçu,12701,2249,240766
2635,Malhador,12689,3196,139841
2636,Jataizinho,12687,2676,186455
2637,Fortaleza dos Nogueiras,12662,3156,142144
2638,Ubaí,12661,3881,93306
2640,Porto,12646,4145,80875
2641,Ibirá,12639,2214,245908
2643,Rio Vermelho,12635,3560,112796
2644,São Roque do Canaã,12602,2420,216569
2645,Porecatu,12587,1306,507636
2646,Lavínia,12581,3100,147534
2647,Cerro Grande do Sul,12579,2868,167690
2648,Bocaina,12571,2349,225211
2648,Bocaina,12571,4945,48401
4520,Bocaina,4509,2349,225211
4520,Bocaina,4509,4945,48401
2649,Tabapuã,12561,2240,241952
2650,Edéia,12559,993,723047
2651,Várzea Nova,12556,3475,119422
2652,Canelinha,12553,2779,177554
2653,Cortês,12543,3678,105239
2654,Cananéia,12542,2139,258772
2655,Tabocas do Brejo Velho,12515,3258,135610
2656,Ubaporanga,12514,3429,122667
2657,Salto do Jacuí,12512,1135,615036
2658,Ilicínea,12511,2710,183631
2659,Aral Moreira,12511,1374,477772
2660,Ipaumirim,12507,3713,102843
2661,Porto Walter,12497,3562,112709
2662,Lontras,12497,1857,314188
2663,Ataléia,12496,3304,131807
2664,Setubinha,12493,4017,86754
2665,Nova Ubiratã,12492,747,1026777
2666,Itiruçu,12482,3966,89223
2668,Brejetuba,12450,2485,208941
2669,Bom Retiro do Sul,12448,2110,263135
2671,São Miguel do Tocantins,12445,3735,101820
2672,Planura,12445,1352,488521
2673,Duartina,12421,2179,251939
2674,Chavantes,12418,2464,211527
2675,Guaiçara,12416,2690,185266
2677,Jardim do Seridó,12397,3010,154891
2678,Cardoso,12371,2134,259557
2679,Mato Verde,12367,3469,119935
2680,Matina,12359,4333,72152
2681,Poranga,12358,4205,77863
2682,Licínio de Almeida,12357,3695,104217
2683,Rio Paranaíba,12356,1324,499792
2684,Cláudia,12338,1543,409147
2685,Jerônimo Monteiro,12336,3181,140796
2686,Santa Fé,12330,2142,258448
2687,Alto Garças,12323,1245,535389
2688,Jacinto,12320,3731,101960
2689,Correia Pinto,12315,1132,616477
2690,Taipu,12314,3455,120761
2691,Pacoti,12313,2897,165591
2692,Pedras de Maria da Cruz,12313,4058,84534
2694,Cacequi,12291,1824,321115
2695,Dom Basílio,12281,3738,101786
2696,Capixaba,12280,2840,170986
2697,Paramoti,12276,3845,95829
2698,Loreto,12271,2625,192188
2700,Ventania,12267,2371,222376
2701,Iguaracy,12265,4210,77738
2702,Itanhomi,12259,3551,113449
2703,Querência do Norte,12257,2408,218249
2704,Canápolis,12251,1716,346723
2704,Canápolis,12251,4517,64349
3162,Canápolis,9694,1716,346723
3162,Canápolis,9694,4517,64349
2705,Jequeri,12246,3124,145486
2706,Araçás,12237,3205,138788
2707,Ponto dos Volantes,12235,4129,81524
2708,Axixá,12234,4401,68996
2709,São Francisco do Maranhão,12226,4330,72236
2710,Serra do Mel,12225,1896,306520
2711,Itapejara d'Oeste,12220,1259,531425
2712,Ferreiros,12216,3659,106851
2713,Congonhal,12209,2703,184679
2714,Santo Amaro das Brotas,12200,3391,125114
2715,Icaraí de Minas,12200,4253,76107
2716,Carmo da Cachoeira,12193,2358,223937
2717,Andrelândia,12189,2400,218809
2718,Capela de Santana,12183,2572,197606
2719,Porto Esperidião,12176,2643,190562
2720,Colares,12175,4178,79043
2721,Santa Leopoldina,12171,2565,198443
2722,Belém de Maria,12169,4238,76813
2723,Saubara,12163,3364,126888
2724,Pimenteiras,12150,4162,79988
2725,Itagi,12140,3797,98362
2726,São Sebastião da Grama,12137,1796,326759
2727,Bonito de Santa Fé,12126,3862,95007
2728,Wanderley,12125,3438,122263
2729,Salgado de São Félix,12123,3578,111514
2730,Lebon Régis,12122,2362,223560
2731,Pinheiro Machado,12122,1969,292134
2732,Joaquim Távora,12108,1150,607984
2733,Bofete,12107,2908,164471
2734,Godofredo Viana,12104,4257,75964
2735,Sales Oliveira,12103,1678,359307
2736,São Francisco do Brejão,12082,3846,95825
2737,Mortugaba,12063,4041,85632
2738,Boa Nova,12039,3889,93079
2740,Aperibé,12036,2834,171664
2741,Três Barras do Paraná,12036,1809,324147
2742,Mondaí,12034,1183,581186
2743,Presidente Jânio Quadros,12028,4187,78696
2745,Inhangapi,12009,3541,114665
2746,Iacanga,12002,1530,413181
2747,Peixe,11996,1240,539063
2748,Perdigão,11994,2445,213424
2751,Terra Alta,11971,4343,71815
2752,Guaraniaçu,11969,1734,340618
2753,Guimarães,11966,4109,82085
2754,Moreira Sales,11966,1972,291461
2755,Abaiara,11965,3893,92945
2756,Antônio Gonçalves,11955,4411,68773
2757,Lima Campos,11943,3060,150725
2758,Rio dos Cedros,11937,1881,310212
2759,Amaturá,11934,4148,80789
2760,São Félix do Araguaia,11934,1214,559803
2761,Santa Terezinha,11914,2617,192897
2761,Santa Terezinha,11914,3575,111806
2761,Santa Terezinha,11914,4118,81844
2761,Santa Terezinha,11914,4378,69711
3306,Santa Terezinha,8760,2617,192897
3306,Santa Terezinha,8760,3575,111806
3306,Santa Terezinha,8760,4118,81844
3306,Santa Terezinha,8760,4378,69711
3353,Santa Terezinha,8547,2617,192897
3353,Santa Terezinha,8547,3575,111806
3353,Santa Terezinha,8547,4118,81844
3353,Santa Terezinha,8547,4378,69711
2762,Benedito Novo,11896,1961,294074
2763,Imaculada,11877,4269,75524
2764,Vale do Sol,11873,2303,231582
2765,Céu Azul,11872,1181,582222
2766,Caetanópolis,11869,2177,252700
2767,Conceição dos Ouros,11852,2675,186512
2768,Seringueiras,11846,2251,240537
2769,Alcântaras,11846,4391,69282
2770,Brasilândia,11835,1283,519048
2771,Berilo,11813,3878,93651
2772,Gouveia,11811,3342,129192
2773,Santana do Matos,11808,3400,124270
2774,Tacuru,11795,2610,193491
2775,São Sebastião de Lagoa de Roça,11793,4019,86629
2776,São João do Manhuaçu,11785,3087,148513
2777,Wanderlândia,11783,2977,157728
2778,Redentora,11782,2987,156732
2779,Normandia,11772,3086,148517
2780,Aratuba,11759,3090,148412
2781,Chupinguaia,11755,2013,280763
2782,Baixa Grande do Ribeiro,11751,975,744544
2783,Serra do Salitre,11750,1720,345836
2784,Presidente Kennedy,11741,269,3433327
2784,Presidente Kennedy,11741,4885,49744
4831,Presidente Kennedy,3668,269,3433327
4831,Presidente Kennedy,3668,4885,49744
2785,São Miguel das Matas,11733,3629,108501
2786,Vera,11731,1291,515315
2787,Angicos,11695,3380,125955
2788,Fronteiras,11690,3115,146134
2789,Paranacity,11685,1662,364620
2790,Olivença,11681,4403,68930
2791,Teixeiras,11680,3317,130987
2792,Ponte Serrada,11674,2346,225630
2793,Rio do Pires,11672,4143,80972
2794,Antônio Cardoso,11670,3675,105364
2795,Gravatal,11652,2357,224208
2796,Campo do Meio,11648,2828,172041
2797,Rodeio,11647,2042,273837
2798,Buriti do Tocantins,11644,3884,93244
2800,Itabirinha,11637,3804,97926
2801,Jaqueira,11632,3734,101866
2802,Rio Novo do Sul,11630,2778,177614
2803,Cachoeira de Minas,11609,2564,198579
2804,Paranatama,11608,2230,242705
2805,Gararu,11599,3664,106329
2806,Alvorada do Sul,11598,2196,249262
2807,Ipaporanga,11597,4181,78956
2808,Capela do Alto Alegre,11597,3986,88425
2809,Itaipulândia,11588,1711,348162
2810,Alto Paraguai,11587,3530,115519
2811,Lençóis,11586,3581,111447
2812,Sebastião Laranjeiras,11586,4270,75487
2813,Jaguaribara,11580,3326,130333
2814,Resende Costa,11578,3008,154919
2815,Nhandeara,11575,1842,318012
2816,Nonoai,11574,1656,366978
2818,Itainópolis,11571,4168,79803
2819,Santo Antônio do Jacinto,11570,3971,89127
2820,Duas Barras,11563,2460,212032
2821,Roca Sales,11556,1464,436850
2822,Ilha Comprida,11552,1025,692944
2823,Dois Irmãos do Buriti,11547,2674,186792
2824,Carmo da Mata,11546,2853,169375
2825,Vale do Anari,11545,3058,150777
2826,Jucati,11545,3699,103840
2827,Balneário Gaivota,11537,3184,140783
2828,Lagoa Grande do Maranhão,11534,4326,72409
2829,Pirangi,11524,1951,296223
2830,Santa Mariana,11523,1732,341300
2831,Aramari,11519,3958,89728
2832,Nova Europa,11519,1908,303797
2833,Pedro de Toledo,11507,3051,151283
2834,Estiva Gerbi,11507,1864,313228
2835,Bonito de Minas,11502,4295,74049
2836,Xambioá,11500,1745,339089
2837,Jequiá da Praia,11495,2192,249804
2838,Calçoene,11493,3107,146922
2839,Getulina,11485,2595,195118
2840,Muquém do São Francisco,11479,3328,130325
2841,Capitão de Campos,11471,4093,82578
2842,Antônio Carlos,11471,1195,577385
2842,Antônio Carlos,11471,3177,140944
3320,Antônio Carlos,8712,1195,577385
3320,Antônio Carlos,8712,3177,140944
2843,Nova Laranjeiras,11462,2587,195985
2844,Curimatá,11461,3976,88831
2846,Igarapé Grande,11453,4107,82134
2847,Duque Bacelar,11451,4407,68840
2848,Estiva,11416,2248,240892
2849,Porto Firme,11414,3940,90626
2850,Alto Taquari,11413,775,968768
2851,Lajes,11410,3460,120421
2852,Martinópole,11407,4222,77391
2853,Pérola,11406,1388,472743
2854,Divisópolis,11396,4406,68905
2855,Eugenópolis,11383,3026,153798
2856,Guaraci,11382,1624,376680
2856,Guaraci,11382,3583,111426
4141,Guaraci,5557,1624,376680
4141,Guaraci,5557,3583,111426
2857,Anguera,11369,4486,65908
2858,Batayporã,11368,1744,339128
2859,Campo Redondo,11363,4218,77544
2860,Avelino Lopes,11361,4209,77758
2861,Moita Bonita,11361,3079,148971
2862,Matias Cardoso,11360,3278,134028
2863,Itatiaiuçu,11354,786,960081
2864,Irineópolis,11354,1935,299264
2865,Bela Vista do Maranhão,11347,4164,79952
2866,Palmares do Sul,11342,1340,493763
2867,Presidente Vargas,11328,4664,58484
2868,Terra de Areia,11323,2405,218481
2869,Macajuba,11318,4323,72559
2870,Urubici,11311,2298,232334
2871,Poção,11308,4044,85559
2872,Senador José Porfírio,11305,3363,126966
2873,Angelim,11301,3549,113954
2874,Paranaíta,11291,1162,596814
2875,Barbosa Ferraz,11287,2417,216815
2876,Senador Alexandre Costa,11285,4285,74404
2877,Gentio do Ouro,11284,3139,144150
2879,Lagoa do Mato,11280,4264,75659
2881,Balneário Barra do Sul,11271,2661,188039
2883,Moreilândia,11269,4142,81064
2884,Engenheiro Caldas,11268,3636,108073
2885,Cajapió,11255,4792,53402
2886,Alto Parnaíba,11233,1985,287919
2887,Uraí,11233,2126,260511
2888,Corumbá de Goiás,11223,2975,157851
2889,Chorrochó,11221,4315,72845
2890,Groaíras,11219,4203,77896
2891,Goianápolis,11217,2743,181236
2892,Salgadinho,11214,4565,62146
2892,Salgadinho,11214,5511,25439
4725,Salgadinho,3975,4565,62146
4725,Salgadinho,3975,5511,25439
2893,Varre-Sai,11208,2723,183017
2895,Quebrangulo,11202,3554,113322
2896,Areiópolis,11186,3268,134784
2897,Cerro Corá,11182,3137,144427
2898,Fagundes,11180,4006,87469
2899,Três Cachoeiras,11174,2241,241520
2900,Bernardino de Campos,11168,2272,236668
2901,Barros Cassal,11167,2626,191845
2902,Montanhas,11166,3981,88584
2903,Potengi,11165,3864,94825
2904,Agrolândia,11160,2228,243160
2905,Rosário do Catete,11158,1416,459455
2906,Cunha Porã,11150,1282,519410
2907,Igaratinga,11146,1737,340015
2908,Primeiro de Maio,11138,2057,272073
2909,Juscimeira,11124,1971,292036
2910,Inácio Martins,11117,2797,175436
2911,São Gonçalo do Rio Abaixo,11114,291,3123367
2912,São Pedro do Ivaí,11109,2090,265808
2913,Acari,11106,3479,119095
2914,Catanduvas,11106,1581,393217
2914,Catanduvas,11106,2135,259551
3100,Catanduvas,10144,1581,393217
3100,Catanduvas,10144,2135,259551
2915,Fervedouro,11100,3701,103796
2916,Maraial,11098,4039,85691
2917,Pedralva,11098,3344,128961
2918,São Jerônimo da Serra,11088,2415,217297
2919,Iapu,11085,3765,100488
2920,Urupá,11081,2483,208989
2921,Angélica,11081,998,721575
2922,Aurelino Leal,11079,3694,104284
2923,Itatuba,11069,3676,105319
2924,Jardim Alegre,11067,2184,251077
2925,Dois Riachos,11059,4220,77427
2926,Mulungu,11056,3387,125250
2926,Mulungu,11056,4235,76928
3125,Mulungu,9962,3387,125250
3125,Mulungu,9962,4235,76928
2927,Pires Ferreira,11052,4699,57104
2928,São Tomé,11051,3136,144480
2928,São Tomé,11051,3945,90445
4068,São Tomé,5778,3136,144480
4068,São Tomé,5778,3945,90445
2929,Bananal,11039,2535,202204
2930,Iuiú,11038,3972,89068
2931,Itaueira,11037,3617,109038
2932,Divinolândia,11027,1930,299836
2933,Afonso Bezerra,11024,3842,95927
2934,Tacima,11024,4276,74792
2935,Uiramutã,11014,3518,116530
2936,Caracol,11009,3507,117224
2936,Caracol,11009,4394,69184
3929,Caracol,6247,3507,117224
3929,Caracol,6247,4394,69184
2937,Delta,10994,1718,346116
2938,Mauá da Serra,10994,2018,279063
2939,Arceburgo,10990,2084,267724
2940,Manaíra,10988,4325,72420
2941,Paraúna,10988,830,903936
2942,Ararendá,10983,4186,78714
2943,Calçado,10983,3949,90315
2944,Bueno Brandão,10982,3221,137788
2945,Matias Olímpio,10979,4336,72092
2946,São Tiago,10979,2928,161469
2947,Carnaubais,10972,3470,119851
2948,Rio do Fogo,10961,2845,170495
2949,Rialma,10961,2428,215657
2950,Apiúna,10951,1525,414858
2951,Capinzal do Norte,10937,3312,131267
2952,Parapuã,10934,1682,358234
2953,Governador Archer,10931,4442,67485
2954,Prudente de Morais,10931,3134,144528
2955,Tenente Ananias,10923,4087,83171
2956,Cacimbinhas,10920,3984,88488
2957,São Vicente do Seridó,10919,4430,68137
2958,Laranja da Terra,10919,3279,134017
2959,São Bento do Sapucaí,10907,2584,196195
2960,Arataca,10904,4247,76408
2961,Lago do Junco,10900,4483,65940
2963,Roseira,10888,1999,283507
2964,Jordânia,10872,4111,82015
2965,Santa Maria de Itabira,10867,2900,165416
2966,General Salgado,10855,2132,259863
2967,Parnaguá,10846,4144,80969
2968,Vargem,10842,3559,112807
2968,Vargem,10842,4632,59498
5321,Vargem,2387,3559,112807
5321,Vargem,2387,4632,59498
2970,Juripiranga,10830,3771,99765
2971,Rincão,10824,2442,213766
2972,Itapuã do Oeste,10819,2940,160828
2973,Miradouro,10818,3332,130090
2975,Água Doce do Norte,10801,3190,140106
2976,Novo Oriente de Minas,10800,4115,81938
2977,Chapadão do Céu,10797,761,995234
2978,Juruaia,10795,2905,164661
2979,Pirapetinga,10791,1174,588794
2980,Mercês,10775,3522,115996
2981,Sete Quedas,10751,2497,206924
2982,Jandaíra,10742,3119,145740
2982,Jandaíra,10742,4278,74766
3748,Jandaíra,6907,3119,145740
3748,Jandaíra,6907,4278,74766
2983,Piraúba,10732,2909,164324
2984,Alto Rio Doce,10723,2924,162094
2985,Ouroeste,10712,1457,439499
2986,Cedral,10711,1868,312750
2986,Cedral,10711,4528,63902
3195,Cedral,9452,1868,312750
3195,Cedral,9452,4528,63902
2987,Missal,10706,1834,319345
2988,Brotas de Macaúbas,10705,4246,76414
2989,Centenário do Sul,10704,2366,222915
2990,Gilbués,10698,2684,185879
2991,São Luiz do Paraitinga,10693,2820,172868
2992,Mirante da Serra,10691,2457,212397
2993,Jaguari,10684,2256,239855
2994,Aragoiânia,10680,3674,105455
2995,Seberi,10678,1852,316080
2996,Brejolândia,10675,4157,80380
2997,Cabeceiras do Piauí,10671,4646,59082
2998,Babaçulândia,10668,3724,102479
2999,Trajano de Moraes,10653,2755,180005
3000,Cajobi,10649,3037,152695
3001,Serra Caiada,10646,4208,77802
3002,Santana do Mundaú,10637,919,807040
3003,Ronda Alta,10633,1927,300105
3004,Sucupira do Norte,10631,4282,74529
3005,Faxinal dos Guedes,10630,1467,434655
3006,Ribeirão Claro,10622,1403,464021
3007,Monte Alegre do Piauí,10618,3005,155124
3008,Nova Floresta,10614,4090,82900
3009,Caroebe,10595,2918,163048
3011,Pirpirituba,10590,4048,85034
3013,Irani,10575,2469,210977
3014,Bujari,10572,2971,158298
3015,Tapera,10569,1551,406431
3016,Monsenhor Gil,10563,3934,91032
3017,Fernando Falcão,10559,4744,54968
3018,Pariconha,10546,4340,72058
3019,São José do Jacuípe,10546,4158,80166
3020,Grossos,10541,3299,131950
3021,Nova Prata do Iguaçu,10540,1828,320218
3022,São José do Calçado,10536,2915,163374
3023,Bom Repouso,10527,3492,118308
3024,Floresta Azul,10525,4248,76366
3025,Rio Acima,10524,3305,131635
3026,Recreio,10522,3795,98428
3027,Santa Teresinha,10520,5056,44621
4497,Santa Teresinha,4550,5056,44621
3028,Érico Cardoso,10513,4603,60639
3029,Campos Lindos,10505,1979,289334
3030,Arraias,10502,2980,157609
3031,Santa Cruz do Arari,10496,4427,68177
3032,Guadalupe,10496,1253,534296
3033,Sarapuí,10493,3067,150275
3034,Umarizal,10485,3338,129492
3035,Arroio do Sal,10483,2365,222978
3036,Beneditinos,10479,4393,69199
3037,Senhora dos Remédios,10474,4177,79277
3038,Jitaúna,10470,3382,125488
3039,Mulungu do Morro,10469,3920,91837
3041,Cristino Castro,10464,3787,99039
3042,Espírito Santo,10463,4335,72125
3043,Virginópolis,10459,3192,139958
3044,Ribeirão Cascalheira,10450,1975,290049
3045,Natuba,10449,4147,80816
3046,São Miguel do Gostoso,10441,1508,419445
3047,Itarana,10433,2471,210770
3048,Apiacás,10431,3162,141779
3049,Paranã,10426,2454,212625
3050,Branquinha,10426,1576,394561
3051,Arvorezinha,10422,2147,257089
3052,Catunda,10410,4036,85798
3053,Santa Maria Madalena,10380,2817,173420
3055,Dona Inês,10375,4137,81254
3057,Cachoeira dos Índios,10364,3612,109469
3058,Florestópolis,10360,2074,269119
3059,Marcionílio Souza,10357,4227,77188
3060,Ninheira,10355,4258,75957
3061,Riachuelo,10354,2829,171789
3061,Riachuelo,10354,4518,64288
3403,Riachuelo,8310,2829,171789
3403,Riachuelo,8310,4518,64288
3062,Pintadas,10353,4195,78511
3063,Conceição da Aparecida,10351,2525,203379
3064,Theobroma,10348,2699,184817
3065,Dário Meira,10347,4112,82011
3066,Barracão,10347,2315,229991
3066,Barracão,10347,2687,185717
4251,Barracão,5237,2315,229991
4251,Barracão,5237,2687,185717
3067,Serrano do Maranhão,10343,4446,67398
3068,Centralina,10343,2059,271412
3069,Buenópolis,10342,3532,115277
3070,Aruanã,10340,2484,208973
3071,Jacinto Machado,10337,1840,318404
3072,Urucânia,10333,2788,176444
3073,Mariluz,10327,2480,209345
3076,Francisco Badaró,10311,4484,65936
3077,Guaraciaba,10307,1986,287241
3077,Guaraciaba,10307,4032,85985
3124,Guaraciaba,9964,1986,287241
3124,Guaraciaba,9964,4032,85985
3078,Carmo do Rio Verde,10299,2340,225983
3079,Maiquinique,10294,3885,93238
3080,Dores de Campos,10291,2062,271131
3081,Itapitanga,10284,4301,73645
3082,Bela Vista de Minas,10269,2404,218505
3083,Rubim,10269,4046,85335
3084,Piripá,10253,4400,69001
3085,Petrolina de Goiás,10240,3133,144532
3086,Pescaria Brava,10225,3318,130954
3087,Paranaiguara,10221,2578,197198
3088,Cristina,10211,2736,181659
3089,Porangaba,10205,2717,183137
3091,Uchoa,10191,1645,369855
3092,Fontoura Xavier,10181,2677,186421
3093,Luís Gomes,10175,4410,68790
3094,Dumont,10174,2285,233971
3095,Itapebi,10173,1621,377394
3098,Bom Retiro,10153,2167,254169
3099,Sinimbu,10152,2546,201151
3101,Porto Xavier,10144,2995,156012
3102,Alfredo Wagner,10136,2320,229704
3103,Nova Aurora,10131,1228,549275
3103,Nova Aurora,10131,4964,47789
5375,Nova Aurora,2236,1228,549275
5375,Nova Aurora,2236,4964,47789
3104,Itamogi,10122,2862,168368
3106,Governador Newton Bello,10121,4594,61113
3107,Bonfinópolis,10120,3992,88136
3108,Marcelândia,10107,1983,288435
3109,Carneirinho,10103,1839,318482
3110,Torrinha,10100,2447,213334
3111,Carlinda,10094,2921,162878
3112,Nova Bassano,10089,1346,490525
3113,Sigefredo Pacheco,10074,4577,61779
3114,Santa Tereza do Oeste,10055,1692,356039
3115,Botuporã,10050,3907,92556
3116,Piraí do Norte,10050,4244,76553
3117,Reginópolis,10047,3104,147144
3118,Iretama,10029,2262,238630
3119,Corumbaíba,10012,1177,587542
3120,Anísio de Abreu,9994,4465,66753
3121,Bom Jesus do Norte,9988,3140,144009
3123,Manduri,9972,2478,209533
3126,Nova Campina,9962,2277,235565
3128,Ipupiara,9954,4212,77696
3129,Monte Carlo,9945,3236,137059
3130,Rinópolis,9940,2237,242032
3131,Glória de Dourados,9934,2651,189996
3132,Santo Antônio das Missões,9930,1845,317673
3133,Umbuzeiro,9914,4322,72568
3134,Constantina,9903,2069,269562
3135,Coronel Freitas,9900,2151,256454
3136,Coroaci,9897,3904,92589
3137,São João do Ivaí,9897,2039,274093
3138,Capim Branco,9896,4027,86153
3139,São Sebastião do Maranhão,9884,4310,73167
3140,Saudades,9874,1807,324652
3141,Ipiranga do Piauí,9863,4417,68408
3142,Ariranha,9851,1002,720738
3143,Arauá,9840,3633,108230
3144,Juru,9831,4296,74007
3145,Pureza,9825,3354,127852
3146,Axixá do Tocantins,9817,3717,102604
3147,Formoso,9810,3012,154807
3147,Formoso,9810,4496,65104
4666,Formoso,4098,3012,154807
4666,Formoso,4098,4496,65104
3148,Iaras,9786,3394,124727
3149,Quilombo,9773,1713,347490
3150,Florânia,9772,4141,81109
3151,Bom Jesus da Serra,9768,4770,54023
3152,Lontra,9766,4495,65126
3153,Imaruí,9764,2737,181515
3154,Guia Lopes da Laguna,9754,2291,233519
3155,Cavalcante,9740,2224,243828
3156,Pedrinhas,9727,4067,84117
3157,Alto Piquiri,9722,1995,284996
3158,Frei Inocêncio,9716,3890,93078
3159,Candiota,9707,1311,504959
3160,Manoel Urbano,9701,3259,135599
3161,Deputado Irapuan Pinheiro,9698,4463,66826
3165,Rondon,9664,2191,249842
3166,Herculândia,9649,1916,302366
3167,Igaratá,9631,2414,217382
3168,Denise,9626,1384,474850
3169,Águia Branca,9621,2608,193747
3170,Sairé,9600,3132,144538
3171,Paula Cândido,9597,3853,95291
3173,Ferros,9576,3595,110648
3174,Dom Inocêncio,9574,4711,56718
3175,Japurá,9573,2299,231975
3175,Japurá,9573,4572,61964
5491,Japurá,1755,2299,231975
5491,Japurá,1755,4572,61964
3176,Verdejante,9572,4504,64768
3177,Carneiros,9568,4691,57285
3178,Agudos do Sul,9567,2648,190231
3179,Pau Brasil,9550,3817,97331
3180,Rodelas,9548,4042,85580
3181,Novo Mundo,9545,2681,186169
3182,Verdelândia,9527,4070,84036
3183,Cachoeira Grande,9524,4696,57128
3184,Araújos,9523,1883,310141
3185,Buriti Alegre,9515,1835,319221
3186,Olho d'Água do Casado,9507,4373,70403
3189,Ilha Grande,9487,4426,68247
3191,Riacho dos Machados,9471,2507,205808
3192,Cachoeira de Pajeú,9470,3997,87806
3193,Ministro Andreazza,9461,2410,218099
3194,Palhano,9458,4233,76957
3196,Roncador,9447,1637,372678
3197,Pirambu,9436,3516,116776
3198,Ananás,9435,3433,122460
3199,Sítio do Quinto,9431,4192,78603
3200,Francisco Santos,9423,4563,62299
3201,Carbonita,9423,3349,128344
3203,São Sebastião do Alto,9416,2744,181112
3204,Planaltino,9415,4590,61223
3205,Rio das Flores,9401,2225,243737
3206,Arenápolis,9399,2852,169732
3207,Salto Grande,9396,2475,209782
3208,Cardeal da Silva,9395,4201,77997
3209,Nova Monte Verde,9375,2800,175185
3210,Nazário,9375,2811,174453
3211,Baía Formosa,9373,3271,134744
3212,Japorã,9372,3406,123780
3213,Tabaporã,9357,1597,386230
3214,Wagner,9342,4404,68919
3215,Jaçanã,9341,4600,60724
3216,Caputira,9318,4281,74538
3218,Caturama,9303,4702,56891
3219,Silves,9289,3836,96289
3220,Terra Nova do Norte,9284,2343,225749
3221,Vila Pavão,9280,3244,136617
3222,Euclides da Cunha Paulista,9280,3604,109935
3223,Mambaí,9277,4225,77269
3224,Açucena,9270,3826,96998
3225,Tunas do Paraná,9269,3548,114081
3226,Passo de Torres,9269,3191,140030
3227,Amapá,9265,2874,166932
3228,Murici dos Portelas,9258,4506,64738
3230,Várzea do Poço,9247,4266,75605
3231,Mara Rosa,9234,2575,197454
3232,Antônio Dias,9233,2656,189398
3233,Chapada,9211,1463,436887
3234,Santa Maria do Oeste,9210,2702,184735
3235,Coronel Murta,9209,4159,80165
3236,Bálsamo,9209,2526,203308
3237,Penaforte,9207,3650,107352
3238,Baía da Traição,9197,4167,79805
3239,Palmeira d'Oeste,9173,2854,169315
3240,Vista Alegre do Alto,9163,1698,353695
3241,Abadia de Goiás,9158,2286,233954
3242,Prados,9128,3041,152106
3243,Nova Redenção,9126,4799,53250
3244,Rafard,9126,1800,326043
