posicao (populacao),municipio,populacao,posicao (pib),"PIB(R$1000,00)"
206,Atibaia,145378,160,6162799
207,Santana de Parnaíba,145073,124,8583623
208,Toledo,144601,165,5929258
208,Toledo,144601,3978,88788
3908,Toledo,6336,165,5929258
3908,Toledo,6336,3978,88788
209,Sapucaia do Sul,142508,289,3135020
210,Garanhuns,141347,385,2342967
211,Teófilo Otoni,141269,383,2365624
212,Cametá,140814,668,1183525
213,Brusque,140597,167,5883938
214,Vitória de Santo Antão,140389,257,3691943
215,Barbacena,139061,341,2683459
216,Santa Rita,138093,397,2222359
216,Santa Rita,138093,2072,269333
894,Santa Rita,38732,397,2222359
894,Santa Rita,38732,2072,269333
217,Sabará,137877,366,2523966
218,Varginha,137608,183,5442563
219,Apucarana,137438,286,3167647
220,Simões Filho,137117,186,5322068
221,Araras,136739,188,5284021
222,Itaguaí,136547,141,7564819
223,Araruama,136109,368,2514577
224,Marituba,135812,473,1787967
225,São Félix do Xingu,135732,596,1392553
226,Campo Largo,135678,226,4151593
227,Pinhais,134788,176,5593790
228,São Mateus,134629,414,2113167
229,Crato,133913,548,1537562
230,Resende,133244,138,7731527
231,Valinhos,133169,169,5734500
232,Cubatão,132521,80,12336913
233,Santa Cruz do Sul,132271,131,8238767
234,Cachoeirinha,132144,199,4960250
234,Cachoeirinha,132144,2536,202198
234,Cachoeirinha,132144,5506,25677
1744,Cachoeirinha,20618,199,4960250
1744,Cachoeirinha,20618,2536,202198
1744,Cachoeirinha,20618,5506,25677
5351,Cachoeirinha,2293,199,4960250
5351,Cachoeirinha,2293,2536,202198
5351,Cachoeirinha,2293,5506,25677
235,Trindade,132006,422,2064525
235,Trindade,132006,2009,281832
1148,Trindade,31103,422,2064525
1148,Trindade,31103,2009,281832
236,Vespasiano,131849,359,2596132
237,Itapipoca,131687,542,1560065
238,Maranguape,131677,602,1367885
239,Ji-Paraná,131026,301,3026759
240,Conselheiro Lafaiete,130584,412,2125977
241,Bragança,130122,695,1115895
242,Barcarena,129333,203,4815194
243,Guarapari,128504,406,2160859
244,Sertãozinho,128432,185,5362996
244,Sertãozinho,128432,5022,46041
4271,Sertãozinho,5152,185,5362996
4271,Sertãozinho,5152,5022,46041
245,Jandira,127734,233,4028508
246,Uruguaiana,126766,330,2807639
247,Arapongas,126545,212,4474057
248,Birigui,126094,288,3146638
249,Formosa,125705,390,2306355
250,Paço do Lumiar,125265,860,869375
251,Ribeirão Pires,125238,297,3046465
252,Caraguatatuba,125194,313,2928286
253,Três Lagoas,125137,96,10131705
254,Santana,124808,452,1909860
254,Santana,124808,2292,233276
1336,Santana,26792,452,1909860
1336,Santana,26792,2292,233276
255,Votorantim,124468,305,3001782
256,Colatina,124283,273,3345122
257,Várzea Paulista,124269,345,2658620
258,Itatiba,124254,177,5566364
259,Tatuí,124134,246,3841153
260,Barretos,123546,216,4443581
261,Codó,123368,787,957336
262,Guaratinguetá,123192,189,5277694
263,Catanduva,123114,238,3974659
264,Bento Gonçalves,123090,179,5531266
265,Itabira,121717,190,5220378
266,Bagé,121518,304,3006499
267,Senador Canedo,121447,271,3381748
268,Almirante Tamandaré,121420,554,1522885
269,Salto,120779,151,6869003
270,Igarassu,119690,373,2479117
271,Novo Gama,119649,812,922297
272,Poá,119221,223,4216622
273,Paulo Afonso,119213,319,2887776
274,Araguari,118361,230,4091891
275,Ubá,117995,322,2861452
276,Altamira,117320,369,2500591
277,Piraquara,116852,653,1222237
278,Tucuruí,116605,155,6460221
279,Parintins,116439,706,1092092
280,Passos,115970,378,2387740
281,Paragominas,115838,311,2949844
282,Eunápolis,115360,349,2628454
283,Ourinhos,115139,306,2999648
284,São Lourenço da Mata,114910,699,1107308
285,Paulínia,114508,20,35346490
286,Açailândia,113783,402,2202287
287,Umuarama,113416,278,3284406
288,Catalão,113091,158,6231011
289,Corumbá,112669,321,2869213
290,Santa Cruz do Capibaribe,111812,586,1428396
291,Tailândia,111554,880,846501
292,Ariquemes,111148,393,2296074
293,Coronel Fabriciano,110709,508,1648593
294,Muriaé,109997,416,2100138
295,Patos,108766,494,1711982
296,Araxá,108403,194,5141111
297,Nova Serrana,108241,356,2602636
298,Cambé,108126,247,3840715
299,Tangará da Serra,107631,302,3014931
300,São Pedro da Aldeia,107556,407,2158707
301,Erechim,107368,211,4484452
302,Tubarão,107143,263,3514932
303,Itumbiara,106845,227,4144601
304,Japeri,106296,521,1615348
305,Lagarto,106015,556,1505153
306,Ituiutaba,105818,317,2895226
307,Assis,105768,274,3303948
308,Lavras,105756,372,2485868
309,Leme,105273,309,2978265
310,Bacabal,105094,684,1137995
311,Aracruz,104942,191,5205061
312,São Gonçalo do Amarante,104919,293,3081374
312,São Gonçalo do Amarante,104919,589,1414296
684,São Gonçalo do Amarante,49306,293,3081374
684,São Gonçalo do Amarante,49306,589,1414296
313,Vilhena,104517,365,2555582
314,Itaperuna,104354,338,2705103
315,Itanhaém,104351,458,1855370
316,Breves,104280,977,743286
317,Itacoatiara,104046,436,1978815
318,Caieiras,104044,276,3289605
319,Fazenda Rio Grande,103750,381,2381558
320,Mairiporã,103645,491,1716735
321,Iguatu,103633,557,1501966
321,Iguatu,103633,4710,56735
5370,Iguatu,2251,557,1501966
5370,Iguatu,2251,4710,56735
322,Jataí,103221,210,4510376
323,Santo Antônio de Jesus,103204,417,2094611
324,Itaituba,101541,478,1770652
325,Barra do Piraí,101139,430,2026188
326,Abreu e Lima,100698,433,2003665
327,Manacapuru,99613,553,1525165
328,Ipojuca,99101,91,10879739
329,Sarandi,98888,575,1456938
329,Sarandi,98888,885,842809
1444,Sarandi,25024,575,1456938
1444,Sarandi,25024,885,842809
330,Guaíba,98331,172,5629242
331,Valença,97873,404,2198875
331,Valença,97873,583,1435290
430,Valença,77202,404,2198875
430,Valença,77202,583,1435290
332,Itajubá,97782,303,3010826
333,Bayeux,97519,606,1355756
334,Nova Lima,97378,110,9112333
335,Balsas,96951,298,3046413
336,Itabaiana,96839,468,1805072
336,Itabaiana,96839,2044,273652
1472,Itabaiana,24363,468,1805072
1472,Itabaiana,24363,2044,273652
337,Votuporanga,96106,329,2808057
338,Campo Mourão,96102,268,3435760
339,Caçapava,95752,232,4075123
340,Pará de Minas,95616,333,2744669
341,Cáceres,95339,465,1816006
342,Ponta Porã,95320,348,2641613
343,Itapeva,95241,382,2371573
343,Itapeva,95241,1913,302770
3122,Itapeva,9976,382,2371573
3122,Itapeva,9976,1913,302770
344,Caldas Novas,95183,386,2336725
345,Sorriso,94941,170,5731413
346,Paracatu,94539,264,3510748
347,Itaúna,94455,300,3028868
348,Mogi Mirim,94098,214,4456895
349,Francisco Beltrão,93308,295,3069186
350,Caratinga,93124,526,1608693
351,São Roque,93076,334,2724771
352,Ubatuba,92819,441,1964761
353,Luís Eduardo Magalhães,92671,204,4804729
354,Arujá,92453,187,5311877
355,São João da Boa Vista,92315,314,2923319
356,Patrocínio,92116,337,2707529
357,São Cristóvão,92090,825,909858
358,Manhuaçu,92074,380,2385010
359,Saquarema,91938,418,2092721
360,Avaré,91792,351,2621040
361,São Sebastião,91637,336,2711187
361,São Sebastião,91637,1610,382296
1016,São Sebastião,34424,336,2711187
1016,São Sebastião,34424,1610,382296
362,Planaltina,91345,752,1017379
363,Timóteo,91268,320,2876835
365,Santa Inês,89927,652,1225219
365,Santa Inês,89927,4386,69454
365,Santa Inês,89927,4905,49230
365,Santa Inês,89927,5458,29071
3012,Santa Inês,10583,652,1225219
3012,Santa Inês,10583,4386,69454
3012,Santa Inês,10583,4905,49230
3012,Santa Inês,10583,5458,29071
4869,Santa Inês,3591,652,1225219
4869,Santa Inês,3591,4386,69454
4869,Santa Inês,3591,4905,49230
4869,Santa Inês,3591,5458,29071
5528,Santa Inês,1568,652,1225219
5528,Santa Inês,1568,4386,69454
5528,Santa Inês,1568,4905,49230
5528,Santa Inês,1568,5458,29071
366,Cruzeiro do Sul,89760,629,1287722
366,Cruzeiro do Sul,89760,1710,348752
366,Cruzeiro do Sul,89760,2563,198715
2667,Cruzeiro do Sul,12457,629,1287722
2667,Cruzeiro do Sul,12457,1710,348752
2667,Cruzeiro do Sul,12457,2563,198715
4552,Cruzeiro do Sul,4430,629,1287722
4552,Cruzeiro do Sul,4430,1710,348752
4552,Cruzeiro do Sul,4430,2563,198715
367,Lorena,89532,374,2439667
368,Paranavaí,89454,346,2648763
369,Quixadá,88899,801,937277
370,Barra do Corda,88895,1084,651887
371,Gurupi,88428,408,2155992
372,Candeias,87820,242,3869589
372,Candeias,87820,2124,260943
2339,Candeias,14890,242,3869589
2339,Candeias,14890,2124,260943
373,Serra Talhada,87467,614,1337330
374,Camboriú,87179,609,1350594
375,Coari,86713,620,1320621
376,Cacoal,86416,411,2127523
377,Campo Limpo Paulista,86407,449,1922194
378,Redenção,86326,498,1699978
378,Redenção,86326,1756,335428
1210,Redenção,29238,498,1699978
1210,Redenção,29238,1756,335428
379,São Bento do Sul,86317,307,2992809
380,Lajeado,86005,258,3662790
380,Lajeado,86005,4538,63344
5009,Lajeado,3199,258,3662790
5009,Lajeado,3199,4538,63344
381,Navegantes,85734,228,4106551
382,Pacatuba,85647,743,1035662
382,Pacatuba,85647,2759,179731
2362,Pacatuba,14650,743,1035662
2362,Pacatuba,14650,2759,179731
383,Unaí,85461,342,2676152
384,Guanambi,85353,640,1263761
385,Gravatá,85309,720,1068949
386,Araripina,85301,764,987497
387,Carpina,85131,621,1318990
388,Cianorte,84980,335,2716202
389,Pato Branco,84779,260,3598922
390,Moju,84251,844,892439
391,Pinheiro,84160,901,830416
392,Matão,84069,249,3821843
393,Ijuí,84041,281,3194967
394,Seropédica,83841,224,4210874
395,Dias d'Ávila,83705,296,3056589
396,Esteio,83352,283,3183305
397,Cruzeiro,82895,409,2136729
398,Macaíba,82828,569,1479244
399,Três Rios,82468,253,3714351
400,Quixeramobim,82455,741,1037830
401,Serrinha,81693,876,851147
401,Serrinha,81693,4749,54688
3961,Serrinha,6128,876,851147
3961,Serrinha,6128,4749,54688
402,Aquiraz,81581,400,2205364
403,Cachoeira do Sul,81552,392,2298800
404,Vinhedo,81516,118,8729936
405,Curvelo,81085,567,1480513
406,Alfenas,80973,343,2664046
407,João Monlevade,80903,360,2589634
408,Jacobina,80749,635,1269590
409,Viana,80735,413,2125028
409,Viana,80735,1541,409286
644,Viana,52852,413,2125028
644,Viana,52852,1541,409286
410,Chapadinha,80705,1070,657989
411,Telêmaco Borba,80588,248,3836532
412,Três Corações,80561,398,2216413
413,Sapiranga,80514,277,3286119
414,Goiana,80345,109,9146860
415,Ibiúna,80062,513,1632767
416,Caçador,80017,294,3073698
417,Viçosa,79910,544,1557426
417,Viçosa,79910,1956,295330
417,Viçosa,79910,5568,15769
1399,Viçosa,25655,544,1557426
1399,Viçosa,25655,1956,295330
1399,Viçosa,25655,5568,15769
5498,Viçosa,1731,544,1557426
5498,Viçosa,1731,1956,295330
5498,Viçosa,1731,5568,15769
418,Senhor do Bonfim,79813,913,813589
419,Russas,79550,689,1129321
420,Cajamar,79034,62,15003191
421,Lins,78978,261,3573980
422,Picos,78627,587,1425586
423,Novo Repartimento,78488,889,839896
424,Jaboticabal,78029,332,2752005
425,Bebedouro,77612,280,3260501
426,Santo Ângelo,77544,387,2318885
427,Canindé,77484,1007,713663
428,Itapetinga,77408,711,1082015
429,Pirassununga,77330,355,2605700
431,Tianguá,77111,646,1247939
432,Belo Jardim,76930,469,1804833
433,Santo Antônio do Descoberto,76871,1082,653340
434,Santana do Araguaia,75995,925,803114
435,Cataguases,75942,537,1579995
436,Itapira,75683,267,3457944
437,Concórdia,75683,284,3178922
438,Rio Largo,75662,749,1020537
440,Aracati,75392,631,1275383
441,Arcoverde,75295,771,978164
442,Crateús,75241,972,745267
443,Oriximiná,74921,497,1700273
444,Ouro Preto,74824,208,4644423
445,Cosmópolis,74662,539,1575661
446,Cidade Ocidental,74370,978,742418
447,Ceará-Mirim,74268,918,808622
448,Pacajus,74145,721,1064219
449,Irecê,74050,713,1080881
450,Santa Rosa,73882,328,2810212
451,Farroupilha,73758,287,3161847
452,Buriticupu,73595,1329,497781
453,Palmeira dos Índios,73452,939,778610
454,Amparo,73145,220,4358991
454,Amparo,73145,5518,24393
5363,Amparo,2264,220,4358991
5363,Amparo,2264,5518,24393
456,Casa Nova,73092,1058,667757
457,Rio do Sul,72931,362,2571376
458,Santa Izabel do Pará,72856,1003,718727
460,Esmeraldas,72512,1051,676032
461,Alegrete,72493,431,2019527
462,Janaúba,72374,702,1096609
463,Venâncio Aires,72373,340,2696507
464,Indaial,72346,370,2499704
465,Castro,72125,344,2658989
466,Goianésia,72045,617,1326891
467,Gaspar,71925,325,2824094
468,São Sebastião do Paraíso,71915,446,1937431
469,Campo Formoso,71754,698,1108435
470,Grajaú,70692,1054,671916
471,Biguaçu,70471,525,1609123
472,Ouricuri,70466,1142,612341
473,Embu-Guaçu,70402,738,1043490
474,Bom Jesus da Lapa,70151,762,994315
475,Sousa,69997,710,1085479
476,Campo Bom,69981,327,2815006
477,Estância,69919,511,1633878
478,Capanema,69828,776,967351
478,Capanema,69828,1068,659197
1869,Capanema,19172,776,967351
1869,Capanema,19172,1068,659197
479,Cabedelo,69773,318,2895223
480,Escada,69701,859,871161
481,Peruíbe,69697,611,1346872
482,Horizonte,69688,530,1596807
483,Fernandópolis,69680,447,1930276
484,Lucas do Rio Verde,69671,252,3720050
485,Lençóis Paulista,69533,363,2569703
486,Araranguá,69493,488,1724538
487,Mineiros,69477,377,2412898
488,Itapema,69323,500,1698077
490,Mococa,69072,396,2228392
491,Caicó,68726,680,1145089
492,Breu Branco,68597,1186,580334
493,Tabatinga,68502,1414,461733
493,Tabatinga,68502,2023,278225
2120,Tabatinga,16787,1414,461733
2120,Tabatinga,16787,2023,278225
494,Icó,68303,1215,559410
495,Rolândia,68165,357,2599072
496,Pesqueira,68067,1027,691973
497,Januária,67958,1050,676244
498,Formiga,67956,519,1620086
499,Brumado,67468,499,1699701
500,Conceição do Coité,67394,969,752104
501,Ipixuna do Pará,67170,1238,540966
502,Vacaria,66916,410,2131390
503,Lagoa Santa,66744,505,1661110
503,Lagoa Santa,66744,5217,39094
5511,Lagoa Santa,1652,505,1661110
5511,Lagoa Santa,1652,5217,39094
504,Camaquã,66686,428,2027360
505,Surubim,66192,949,771791
506,Maués,66159,1418,458903
507,Montenegro,66157,275,3301681
508,Bertioga,66154,527,1606553
509,União dos Palmares,65963,803,934646
510,Coroatá,65788,1564,399404
511,Tupã,65615,479,1760413
512,Pedro Leopoldo,65149,582,1437172
513,Itaberaba,64795,862,867835
514,Benevides,64780,595,1393885
515,Tomé-Açu,64604,1103,639356
516,Itamaraju,64423,855,873033
517,Itupeva,64330,162,6124416
518,Camocim,64147,1065,663552
519,Penápolis,64098,536,1580120
520,Penedo,64005,837,898339
521,Cruz das Almas,63923,804,934530
522,Barreirinhas,63891,1415,459506
523,Primavera do Leste,63876,266,3490426
524,Portel,63831,1092,648024
525,Piripiri,63829,1074,657160
526,Moreno,63792,1036,682663
527,Palmares,63745,896,833884
528,Acaraú,63556,1108,633972
529,Batatais,63438,568,1479439
530,Igarapé-Miri,63367,1623,376722
531,Boituva,63310,339,2696866
532,Cajazeiras,62576,703,1095981
533,Carazinho,62413,352,2611747
534,São Miguel dos Campos,62328,770,979181
535,Ulianópolis,62286,647,1245378
536,Guapimirim,62225,816,920921
537,São Gabriel,62187,495,1708475
537,São Gabriel,62187,3609,109646
1913,São Gabriel,18785,495,1708475
1913,São Gabriel,18785,3609,109646
538,Viseu,62093,1140,613441
539,Viçosa do Ceará,61916,1528,413410
540,Mariana,61830,316,2897515
541,Nova Odessa,61716,285,3175071
542,Monte Mor,61707,315,2917997
543,Barra do Garças,61702,482,1754165
544,Barbalha,61662,810,926357
545,Morada Nova,61590,886,842267
546,Salgueiro,61561,932,792726
547,Irati,61439,471,1794165
547,Irati,61439,5328,34931
5468,Irati,1887,471,1794165
5468,Irati,1887,5328,34931
548,Cristalina,61385,394,2293764
549,Dom Eliseu,61206,1042,679818
550,Ibitinga,61150,564,1481596
551,Euclides da Cunha,61112,1256,531936
552,Bezerros,60960,1008,711603
553,Rio Bonito,60930,529,1600478
554,Sidrolândia,60792,515,1632087
555,Mirassol,60768,444,1956637
556,São Bento do Una,60567,789,953039
557,Jacundá,60517,1351,489192
558,Frutal,60508,460,1842323
559,São Miguel do Guamá,60268,1056,668079
560,Limoeiro do Norte,60232,820,916869
561,Santo Amaro,60190,936,783606
562,Floriano,60111,751,1019283
563,Ponte Nova,60003,507,1649724
564,Juruti,59961,736,1045817
565,Tutóia,59927,1572,395613
566,Jaguariúna,59921,88,11346028
567,São Borja,59768,474,1784089
568,Cachoeiras de Macacu,59652,778,965890
569,Cruz Alta,59561,282,3188890
570,Buíque,59448,1538,411083
571,Parobé,59419,681,1144719
572,Guarabira,59389,792,947205
573,Ipirá,59281,1093,647844
574,Tauá,59259,1165,595530
575,Tefé,59250,974,744800
577,Mongaguá,58567,766,986035
578,Santa Isabel,58529,608,1353632
578,Santa Isabel,58529,4224,77349
4778,Santa Isabel,3821,608,1353632
4778,Santa Isabel,3821,4224,77349
579,União da Vitória,58298,552,1530300
580,Monte Alegre,58289,1032,690194
580,Monte Alegre,58289,2490,208370
1572,Monte Alegre,22698,1032,690194
1572,Monte Alegre,22698,2490,208370
581,Içara,58055,415,2101908
582,Campo Alegre,57997,1333,495628
582,Campo Alegre,57997,1422,456416
